"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"HAD 300um Si Module LD Five","ML-53C","HAD 300um Si Module LD Type 5"
"HGC LD Hex PCB",,
"HGC Halfmoon",,
"HGC Sensor",,
"HGC Sensor Wafer",,
"HGC Six Inch Silicon Proto Module",,
"HPK Eight Inch 271 Sensor Monitor Diode",,
"200 um Si Sensor HD Right","SH-2RXX","200 um Si Sensor HD Right"
"200 um Si Sensor HD Left","SH-2LXX","200 um Si Sensor HD Left"
"200 um Si Sensor HD Bottom","SH-2BXX","200 um Si Sensor HD Bottom"
"HPK Eight Inch 271 Sensor Guard Ring",,
"HPK Eight Inch 271 Sensor Calib Cell",,
"HPK Eight Inch 271 Sensor Cell",,
"HPK Six Inch 128 Sensor Calib Cell",,
"HPK Six Inch 128 Sensor Cell",,
"HPK Eight Inch 271 Cell Silicon Sensor",,
"HGC Six Inch Silicon Module",,
"HPK Six Inch 128 Cell Silicon Sensor",,
"200um Si Sensor HD Halfmoon-B","SH-2MBT","200um Si Sensor HD Halfmoon-S"
"LD Wagon East 1F TopoA Geom1 - Leaf","WE-10A1","LD Wagon East 1F TopoA Geom1 - Leaf"
"Bare Hexaboard HD Full","07-01","Bare Hexaboard HD Full"
"Bare Hexaboard HD Top","07-11","Bare Hexaboard HD Top"
"Bare Hexaboard HD Bottom","07-21","Bare Hexaboard HD Bottom"
"Bare Hexaboard HD Left","07-31","Bare Hexaboard HD Left"
"Bare Hexaboard HD Right","07-41","Bare Hexaboard HD Right"
"Bare Hexaboard LD Full","06-01","Bare Hexaboard LD Full"
"Bare Hexaboard LD Top","06-11","Bare Hexaboard LD Top"
"Bare Hexaboard LD Bottom","06-21","Bare Hexaboard LD Bottom"
"Bare Hexaboard LD Left","06-31","Bare Hexaboard LD Left"
"Bare Hexaboard LD Right","06-41","Bare Hexaboard LD Right"
"Bare Hexaboard LD Five","06-51","Bare Hexaboard LD Five"
"TOR209 bPOL12V Coil","DC-COL","TOR209 bPOL12V Coil"
"HD HGCROC",,"HD HGCROC"
"LD HGCROC",,"LD HGCROC"
"SiPM HGCROC",,"SiPM HGCROC"
"Conc Mezz SemiRight D only","CM-3SRD","Conc-Mezz-SemiRight-D"
"Conc Mezz HalfBottom D only","CM-3HBD","Conc-Mezz-HalfBottom-D"
"EM 300um Si ProtoModule LD Full","PL-F3W","EM 300um Si ProtoModule LD Type 0"
"EM 300um Si ProtoModule LD Five","PL-53W","EM 300um Si ProtoModule LD Type 5"
"EM 120um Si Module HD Right","MH-R1W","EM 120um Si Module HD Type 4"
"EM 200um Si Module LD Left","ML-L2W","EM 200um Si Module LD Type 3"
"EM 300um Si Module LD Top","ML-T3W","EM 300um Si Module LD Type 1"
"HAD 120um Si ProtoModule HD Full","PH-F1C","HAD 120um Si ProtoModule HD Type 0"
"HAD 200um Si ProtoModule LD Top","PL-T2C","HAD 200um Si ProtoModule LD Type 1"
"HAD 300um Si ProtoModule LD Top","PL-T3C","HAD 300um Si ProtoModule LD Type 1"
"HAD 300um Si ProtoModule LD Five","PL-53C","HAD 300um Si ProtoModule LD Type 5"
"HAD 120um Si Module HD Right","MH-R1C","HAD 120um Si Module HD Type 4"
"HAD 200um Si Module LD Right","ML-R2C","HAD 200um Si Module LD Type 4"
"HAD 300um Si Module LD Bottom","ML-B3C","HAD 300um Si Module LD Type 2"
"Scintillator Flex Cable BH","SC-FBH","Scintillator Flex Cable BH"
"Scintillator Flex Cable FH","SC-FFH","Scintillator Flex Cable FH"
"Scintillator Twinax Cable A","SC-TXA","Scintillator Twinax Cable A"
"Scintillator Twinax Cable C","SC-TXC","Scintillator Twinax Cable C"
"Scintillator Twinax Cable D","SC-TXD","Scintillator Twinax Cable D"
"Scintillator Twinax Cable B","SC-TXB","Scintillator Twinax Cable B"
"Hexaboard HD Full","XH-F4","Hexaboard HD Full"
"Hexaboard HD Top","XH-T4","Hexaboard HD Top"
"Hexaboard HD Bottom","XH-B4","Hexaboard HD Bottom"
"Hexaboard HD Left","XH-L4","Hexaboard HD Left"
"Hexaboard HD Right","XH-R4","Hexaboard HD Right"
"Hexaboard LD Full","XL-F4","Hexaboard LD Full"
"Hexaboard LD Top","XL-T4","Hexaboard LD Top"
"Hexaboard LD Bottom","XL-B4","Hexaboard LD Bottom"
"Hexaboard LD Left","XL-L4","Hexaboard LD Left"
"Hexaboard LD Right","XL-R4","Hexaboard LD Right"
"Hexaboard LD Five","XL-54","Hexaboard LD Five"
"Bare Molded Tile BH Ring18","BI-18",
"Bare Molded Tile BH Ring20","BI-20",
"Bare Molded Tile BH Ring22","BI-22",
"Bare Molded Tile BH Ring24","BI-24",
"Bare Molded Tile BH Ring26","BI-26",
"Bare Molded Tile BH Ring28","BI-28",
"Bare Molded Tile BH Ring30","BI-30",
"Bare Molded Tile BH Ring32","BI-32",
"Bare Molded Tile BH Ring34","BI-34",
"Bare Molded Tile BH Ring36","BI-36",
"Bare Molded Tile BH Ring38","BI-38",
"Bare Molded Tile BH Ring40","BI-40",
