Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數
2024-12-09 17:00:42,320070100300023,320XHF4BPP00051,,Plotech,v3B,013563 2824,013436 2824,013411 2824,013422 2824,013397 2824,013412 2824,QP00312,QP00311,QP00313,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.67,Pass,Pass,Pass,3.38/1.04,No,,
2024-12-09 17:28:46,320070100300022,320XHF4BPP00040,,Plotech,v3B,013438 2824,013540 2824,013425 2824,013437 2824,013448 2824,013378 2824,QP01252,QP00314,QP01196,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.80,Pass,Pass,Pass,3.33/1.10,No,,
2024-12-09 17:45:28,320070100300047,320XHF4BPP00053,,Plotech,v3B,012274 2824,012259 2824,012318 2824,012104 2824,012092 2824,012141 2824,QP01070,QP01110,QP01093,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.47,Pass,Pass,Pass,3.35/1.07,No,,
2024-12-09 18:09:27,320070100300176,320XHF4BPP00011,,Plotech,v3B,013060 2824,013528 2824,013474 2824,013261 2824,013458 2824,013057 2824,QP00603,QP00602,QP00605,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.71,Pass,Pass,Pass,3.3/1.1,No,,
2024-12-10 09:22:53,320070100300084,320XHF4BPP00018,,Plotech,v3B,012074 2824,012335 2824,012009 2824,012024 2824,012001 2824,012065 2824,QP00573,QP00572,QP00574,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.56,Pass,Pass,Pass,3.3/1.1,No,,
2024-12-10 09:37:09,320070100300017,320XHF4BPP00017,,Plotech,v3B,013487 2824,013475 2824,013511 2824,013535 2824,013560 2824,013534 2824,QP01225,QP01207,QP00299,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.57,Pass,Pass,Pass,3.4/1.06,No,,
2024-12-10 10:20:22,320070100300092,320XHF4BPP00016,,Plotech,v3B,013505 2824,013924 2824,013383 2824,013443 2824,013483 2824,013482 2824,QP00306,QP00305,QP00307,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.53,Pass,Pass,Pass,3.34/1.05,No,,
2024-12-10 10:39:15,320070100300037,320XHF4BPP00015,,Plotech,v3B,013076 2824,013060 2824,013113 2824,013020 2824,013038 2824,013320 2824,QP00374,QP00373,QP00375,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.52,Pass,Pass,Pass,3.36/1.06,No,,
2024-12-10 10:55:15,320070100300054,320XHF4BPP00014,,Plotech,v3B,012059 2824,013222 2824,012020 2824,012188 2824,012167 2824,013268 2824,QP00560,QP00559,QP00529,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.43,Pass,Pass,Pass,3.3/1.04,No,,
2024-12-10 11:14:56,320070100300030,320XHF4BPP00012,,Plotech,v3B,013055 2824,013472 2824,013211 2824,013439 2824,013452 2824,013517 2824,QP00614,QP00613,QP00615,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.52,Pass,Pass,Pass,3.33/1.09,No,,
